Article Code,Article Description,EAN Code,Brand,Category,Sub-category,Range,Pack Size
491938292.0,Aloe Turmeric Gel for Skin & Hair 150ml,8906087771746.0,Mamaearth,Body,Body Gel,Aloe Vera,150.0
M1814,Vitamin C Ultra Light Gel Oil-Free Moisturizer 200 ml,8906087775560.0,Mamaearth,Face,Moisturisers,Vitamin C,200.0
494409842.0,Rice Water Moisturizing Body Wash 500 ml,8904417317596.0,Mamaearth,Body,Body Wash,Rice Water,500.0
494409841.0,Vitamin C Moisturizing Body Wash 500 ml,8904417317589.0,Mamaearth,Body,Body Wash,Vitamin C,500.0
494409847.0,ME Ubtan Moisturizing Body Wash 500 ml,8904417318296.0,Mamaearth,Body,Body Wash,Ubtan,500.0
M1817,Ubtan Face Wash 150 ml (Pack of 2),8904417302226.0,Mamaearth,Face,Face Cleanser,Ubtan,1.0
200010078.0,1% Hyaluronic Sunscreen Aqua Gel 30g,8904417307269.0,The Derma Co.,Face,Sun Care,Hyaluronic Acid,30.0
494516462.0,Beetroot Hydraful Light Moisturizing Cream 50 g,8904417318265.0,Mamaearth,Face,Moisturisers,Beetroot,50.0
494261534.0,Radiance+ Dewy Sunscreen 80g,8904417308570.0,Aqualogica,Face,Sun Care,Radiance+,80.0
494337197.0,Ubtan Moisturizing Lotion Soap 125 g,8904417311860.0,Mamaearth,Body,Soap,Ubtan,125.0
TDC0001,TDC Peptide- Stem Cell Hair Fall Control Shampoo,8904417317282.0,The Derma Co.,Hair,Shampoo,Multi-Peptide,200.0
200040483.0,Anti Dandruff Shampoo 200 ml,8906087773009.0,The Derma Co.,Hair,Shampoo,Generic,200.0
BBL0026,BB Salon Secret High Shine Conditioning Hair Colour - Coffee Natural Brown 130 g,8904417322415.0,BBLUNT,Hair Colour,Creme Hair Colour,Salon Secret,130.0
200010076.0,ME Tea Tree Oil Control Face Wash 50 ml,8904417318760.0,Mamaearth,Face,Face Cleanser,Tea Tree,50.0
MAM0504,Ubtan Moisturizing Lotion Soap Pack of 4 (125 g x 4),8904417311587.0,Mamaearth,Body,Soap,Ubtan,500.0
MAM0505,Vitamin C Moisturizing Lotion Soap Pack of 4 (125 g x 4),8904417311570.0,Mamaearth,Body,Soap,Vitamin C,500.0
494418136.0,Ubtan Detan Sunscreen 50 g,8904417313178.0,Mamaearth,Face,Sun Care,Ubtan,50.0
322010805.0,Mamaearth Charcoal Face Wash 250 ml,8906087776369.0,Mamaearth,Face,Face Cleanser,Charcoal,250.0
MAM0504,Ubtan Moisturizing Lotion Soap (3 + 1 Free) (125 g x 4),8904417311686.0,Mamaearth,Body,Soap,Ubtan,500.0
1443400.0,Neem Moisturizing Lotion Soap (3 + 1 Free) (125 g x 4),8904417311952.0,Mamaearth,Body,Soap,Neem,500.0
1393810.0,Aqua Glow Face Serum 30 ml,8906087776086.0,Mamaearth,Face,Face Serum,Aqua,30.0
63690.0,Vitamin C Daily Glow Face Serum 10 ml,8904417306033.0,Mamaearth,Face,Face Serum,Vitamin C,10.0
MAM0505,Vitamin C Moisturizing Lotion Soap (3 + 1 Free) (125 g x 4),8904417311679.0,Mamaearth,Body,Soap,Vitamin C,500.0
1312388,Aqua Glow Gel Face Moisturizer 100 ml,8906087776000.0,Mamaearth,Face,Moisturisers,Aqua,100.0
61952.0,Mamaearth Retinol Night Cream 50 gm,8906087774600.0,Mamaearth,Face,Face Cream,Retinol,50.0
66278.0,ME Mamaearth Ultra Light Indian Sunscreen with Carrot Seed Turmeric & SPF 50 PA+++ - 80ml+Ubtan Face Wash 50 ml,8904417313147.0,Mamaearth,Face,Sun Care,Ubtan,130.0
66281.0,Neem Moisturizing Lotion Soap Pack of 4 (125 g x 4),8904417311969.0,Mamaearth,Body,Soap,Neem,500.0
MAM0438,Coco Soft Body Lotion For Babies 400 ml,8904417300628.0,Mamaearth,Baby,Body Lotion,Coco Soft,400.0
102246920.0,ME Baby Rich Moisturizing Ultra Light Sunscreen 50 g,8904417320862.0,Mamaearth,Baby,Sun Care,Solution Oriented,50.0
102053253.0,Plant based laundry detergent 1000ml (Saver Pack get 40% extra),8906087771142.0,Mamaearth,Baby,Hygiene,Solution Oriented,1000.0
1097660,Anti Mosquito Fabric Roll On 8ml,8906087770695.0,Mamaearth,Baby,Mosquito Protection,Solution Oriented,8.0
101930759.0,Moisturizing Daily Lotion For Babies 400ml,8906087770435.0,Mamaearth,Baby,Body Lotion,Solution Oriented,400.0
MAM0527,ME Rice Dewy Bright Face Wash 200 ml,8904417322774.0,Mamaearth,Face,Face Cleanser,Rice,200.0
494396862.0,ME Rice Facial Kit 60g,8904417310023.0,Mamaearth,Face,Facial Kit,Rice,60.0
494590495.0,ME Ubtan Detan Face Pack 200 g,8904417320510.0,Mamaearth,Face,Face Masks,Ubtan,200.0
494579397.0,ME Chia Oil-Free Face Wash 100 ml,8904417318876.0,Mamaearth,Face,Face Cleanser,Chia Seed,100.0
494590496.0,ME Multani Mitti Oil Balance Face Pack 200 G,8904417320527.0,Mamaearth,Face,Face Masks,Multani Mitti,200.0
MAM0530,ME Ubtan Natural Glow Face Wash 200 ml,8904417322798.0,Mamaearth,Face,Face Cleanser,Ubtan,200.0
MAM0125,Milky Soft Shampoo For Babies 400 ml,8906087776109.0,Mamaearth,Baby,Shampoo,Milky,400.0
