Chain,Brand,Article_Code,Assortment_Type
APNA KLUB,MAMAEARTH,'8906087775690,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087775713,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087775812,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087776000,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087776024,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087776109,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087776116,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087776123,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087776215,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087776352,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087776413,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087776604,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087776628,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087776734,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087776758,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087776895,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087776932,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087777212,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087777229,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087778233,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087778240,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087778271,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087778455,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087778479,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087778486,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087778523,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087778776,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087779032,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087779124,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087779216,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087779254,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087779261,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087779292,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087779322,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087779339,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087779353,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087779407,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417300512,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417300659,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417300673,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417301496,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417301762,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417302097,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417302301,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417302318,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417302325,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417302608,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417303308,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417303315,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417303322,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417303407,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417303445,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417303537,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417305043,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417305050,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417305258,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417305838,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417306002,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417306170,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417306439,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417307740,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417307757,Brand_Pareto_Assortment_Fallback
