Bill to customer,Direct/Distributor,NSV,MRP value,Month,FY,Zone,State,Brand,Chain Name,Channel
Apollo Healthco Ltd_Raipur,Direct,0.032412199999999995,0.05976,Aug'26,FY_26-27,Central,Chattishgarh,Mamaearth,MT,MT
Apollo Healthco Ltd_Raipur,Direct,0.20547479999999999,0.64656,Aug'26,FY_26-27,Central,Chattishgarh,Mamaearth,MT,MT
Apollo Healthco Ltd_Raipur,Direct,0.0383125,0.10764,Aug'26,FY_26-27,Central,Chattishgarh,Mamaearth,MT,MT
Apollo Healthco Ltd_Raipur,Direct,0.1021669,0.28704,Aug'26,FY_26-27,Central,Chattishgarh,Mamaearth,MT,MT
Apollo Healthco Ltd_Raipur,Direct,0.1013167,0.28752,Aug'26,FY_26-27,Central,Chattishgarh,Mamaearth,MT,MT
Apollo Healthco Ltd_Raipur,Direct,0.19768580000000002,0.561,Aug'26,FY_26-27,Central,Chattishgarh,Mamaearth,MT,MT
Apollo Healthco Ltd_Raipur,Direct,0.4432603,1.2579,Aug'26,FY_26-27,Central,Chattishgarh,Mamaearth,MT,MT
Apollo Healthco Ltd_Raipur,Direct,0.6085439,1.94076,Aug'26,FY_26-27,Central,Chattishgarh,Mamaearth,MT,MT
Apollo Healthco Ltd_Raipur,Direct,0.1140447,0.32364,Aug'26,FY_26-27,Central,Chattishgarh,Mamaearth,MT,MT
Apollo Healthco Ltd_Raipur,Direct,0.2532916,0.7188,Aug'26,FY_26-27,Central,Chattishgarh,Mamaearth,MT,MT
Apollo Healthco Ltd_Raipur,Direct,0.3831257,1.0764,Aug'26,FY_26-27,Central,Chattishgarh,Mamaearth,MT,MT
Apollo Healthco Ltd_Raipur,Direct,0.2704639,0.86256,Aug'26,FY_26-27,Central,Chattishgarh,Mamaearth,MT,MT
Apollo Healthco Ltd_Raipur,Direct,0.0760298,0.21576,Aug'26,FY_26-27,Central,Chattishgarh,Mamaearth,MT,MT
Apollo Healthco Ltd_Raipur,Direct,0.0097302,0.01794,Aug'26,FY_26-27,Central,Chattishgarh,Mamaearth,MT,MT
Apollo Healthco Ltd_Raipur,Direct,0.1142162,0.3594,Aug'26,FY_26-27,Central,Chattishgarh,Mamaearth,MT,MT
Apollo Healthco Ltd_Raipur,Direct,0.22987549999999998,0.64584,Aug'26,FY_26-27,Central,Chattishgarh,Mamaearth,MT,MT
Apollo Healthco Ltd_Raipur,Direct,0.7534075,2.37072,Aug'26,FY_26-27,Central,Chattishgarh,Mamaearth,MT,MT
