,,,,,EAN,,,,
SIS,Shoppers stop ,NPD,EAST,Mamaearth,8904417314298,ME Rosemary hair Growth Oil 200 ml,Hair,Hair Oil,Rosemary
SIS,Shoppers stop ,NPD,EAST,Mamaearth,8904417317183,ME Rice Face Wash 150 ml,Face,Face Cleanser,Rice
SIS,Shoppers stop ,NPD,EAST,Mamaearth,8904417317244,Ubtan Moisturizing Body Lotion 400 ml,Body,Body Lotion,Ubtan
SIS,Shoppers stop ,NPD,EAST,Mamaearth,8904417317268,Rice Water Hydrating Body Lotion 400 ml,Body,Body Lotion,Rice Water
SIS,Shoppers stop ,NPD,EAST,Mamaearth,8904417317275,Vitamin C Daily Glow Body Lotion 400 ml,Body,Body Lotion,Vitamin C
SIS,Shoppers stop ,NPD,EAST,Mamaearth,8904417317589,Cocoa Rich Moisturizing Body Lotion 400 ml,Body,Body Lotion,Cocoa
SIS,Shoppers stop ,NPD,EAST,Mamaearth,8904417317596,Vitamin C Moisturizing Body Wash 500 ml,Body,Body Wash,Vitamin C
SIS,Shoppers stop ,NPD,EAST,Mamaearth,8904417318296,Rice Water Moisturizing Body Wash 500 ml,Body,Body Wash,Rice Water
SIS,Shoppers stop ,NPD,EAST,Mamaearth,8906087770008,ME Ubtan Moisturizing Body Wash 500 ml,Body,Body Wash,Ubtan
SIS,Shoppers stop ,NPD,EAST,Mamaearth,8906087770534,Moisturizing Daily Lotion For Babies 200ml,Baby,Body Lotion,Solution Oriented
SIS,Shoppers stop ,NPD,EAST,Mamaearth,8906087770657,Milky Soft Face Cream With Murumuru Butter for Babies 60 ml,Baby,Moisturisers,Milky
